Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Seattle SuperSonics,1996,64,18,38,3,26,15,8,8,30,8,104.5,110.3,102.1,93.8,0.48,0.364,0.76,11.6,29.9,24.4,10.8,4.8,17.6,24,1,0
Utah Jazz,1997,64,18,38,3,26,15,3,5,36,5,103.1,113.6,104,90,0.504,0.37,0.769,10.8,29.4,26.8,9.1,5.1,15.4,24.2,1,0
Los Angeles Lakers,1990,63,19,37,4,26,15,6,7,30,7,110.7,114,107,96.3,0.49,0.367,0.787,13.4,30,27.2,8,5.4,15,21.2,0,0
Seattle SuperSonics,1994,63,19,37,4,26,15,9,5,43,5,105.9,111.1,101.5,95.1,0.484,0.335,0.745,14,27.2,25.8,12.8,4.5,15.4,23.3,0,0
Chicago Bulls,2011,62,20,36,5,26,15,9,5,31,5,98.6,108.3,100.3,90.4,0.462,0.361,0.743,11.8,32.4,22.3,7.2,5.7,14.2,20,0,0
Utah Jazz,1998,62,20,36,5,26,15,9,4,30,7,101,112.7,105.4,89.2,0.49,0.372,0.773,11.7,29.3,25.2,7.9,5,15.4,23.9,1,0
Boston Celtics,1980,61,21,35,6,26,15,8,7,34,5,113.5,109.4,101.9,102.6,0.49,0.384,0.779,15,30,26.8,9.9,3.8,18.8,24.1,0,0
Cleveland Cavaliers,2010,61,21,35,6,26,15,7,8,32,5,102.1,111.2,104.1,91.4,0.485,0.381,0.72,9.6,32.8,22.4,6.9,5.2,13.9,19.4,0,0
Seattle SuperSonics,1998,61,21,35,6,26,15,8,3,33,10,100.6,111.6,103.6,89.8,0.473,0.396,0.721,11.4,27.1,24.2,9.8,4.6,14,22.1,0,0
Milwaukee Bucks,1981,60,22,34,7,26,15,7,5,36,9,113.1,108.7,101.8,103.6,0.498,0.229,0.77,15.4,29.4,28.3,10.5,6.5,19.3,26.8,0,0
Oklahoma City Thunder,2013,60,22,34,7,26,15,3,6,44,6,105.7,112.4,102.6,93.3,0.481,0.377,0.828,10.4,33.2,21.4,8.3,7.6,15.3,20.2,0,0
Dallas Mavericks,2006,60,22,34,7,26,15,11,6,28,10,99.1,111.8,105,87.8,0.462,0.374,0.783,12.6,29.6,18,7.2,6,13.6,22.4,1,0
San Antonio Spurs,1996,59,23,33,8,26,15,9,4,31,9,103.4,110.2,103.5,93.3,0.477,0.392,0.736,11.4,31.5,24.9,7.9,6.5,14.6,22.2,0,0
Philadelphia 76ers,1982,58,24,32,9,26,15,9,7,27,5,111.2,109.6,103.9,100.6,0.518,0.295,0.747,12.6,29.1,27.6,10.4,7.6,18,26.6,1,0
San Antonio Spurs,2002,58,24,32,9,26,15,7,7,34,7,96.7,106.5,99.7,90,0.458,0.362,0.742,11.1,31.3,20,7.6,6.5,14.4,19.2,0,0
