Team Name,Year,Wins,Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game
Denver Nuggets, 2016, 33.0, 49.0, 101.9, 105.6, 108.9, 95.7, 0.442, 0.338, 0.766, 11.5, 33.1, 22.7, 7.4, 4.8, 14.7, 21.0
Detroit Pistons, 2017, 37.0, 45.0, 101.3, 106.0, 107.1, 95.0, 0.449, 0.33, 0.719, 11.1, 34.6, 21.1, 7.0, 3.8, 11.9, 17.9
Detroit Pistons, 2016, 44.0, 38.0, 102.0, 106.1, 105.5, 95.1, 0.439, 0.345, 0.668, 12.5, 33.9, 19.4, 7.0, 3.7, 13.5, 19.0
Golden State Warriors, 2017, 67.0, 15.0, 115.9, 115.6, 104.0, 99.8, 0.495, 0.383, 0.788, 9.4, 35.0, 30.4, 9.6, 6.8, 14.8, 19.3
Golden State Warriors, 2016, 73.0, 9.0, 114.9, 114.5, 103.8, 99.3, 0.487, 0.416, 0.763, 10.0, 36.2, 28.9, 8.4, 6.1, 15.2, 20.7
Houston Rockets, 2017, 55.0, 27.0, 115.3, 114.7, 109.0, 100.0, 0.462, 0.357, 0.766, 10.9, 33.5, 25.2, 8.2, 4.3, 15.1, 19.9
Houston Rockets, 2016, 41.0, 41.0, 106.5, 108.3, 108.1, 97.6, 0.452, 0.347, 0.694, 11.3, 31.7, 22.2, 10.0, 5.2, 15.9, 21.8
Indiana Pacers, 2017, 42.0, 40.0, 105.1, 108.6, 108.8, 95.9, 0.465, 0.376, 0.81, 9.0, 33.0, 22.5, 8.2, 5.0, 13.8, 19.5
Indiana Pacers, 2016, 45.0, 37.0, 102.2, 104.6, 102.9, 96.6, 0.45, 0.351, 0.764, 10.3, 33.9, 21.2, 9.0, 4.8, 14.9, 20.0
Los Angeles Clippers, 2017, 51.0, 31.0, 108.7, 112.7, 108.2, 96.1, 0.475, 0.375, 0.745, 9.0, 34.0, 22.5, 7.5, 4.2, 13.0, 19.8
Los Angeles Clippers, 2016, 53.0, 29.0, 104.5, 108.3, 103.8, 95.8, 0.465, 0.364, 0.692, 8.8, 33.3, 22.8, 8.6, 5.6, 13.0, 21.3
Los Angeles Lakers, 2017, 26.0, 56.0, 104.6, 106.0, 113.0, 98.5, 0.45, 0.346, 0.754, 11.4, 32.1, 20.9, 8.2, 3.9, 15.2, 20.7
Los Angeles Lakers, 2016, 17.0, 65.0, 97.3, 101.6, 111.6, 95.6, 0.414, 0.317, 0.781, 10.7, 32.3, 18.0, 7.2, 4.1, 13.7, 20.3
Memphis Grizzlies, 2017, 43.0, 39.0, 100.5, 107.7, 107.1, 92.3, 0.435, 0.354, 0.784, 10.8, 32.0, 21.3, 8.0, 4.2, 12.9, 22.4
Memphis Grizzlies, 2016, 42.0, 40.0, 99.1, 105.4, 107.8, 93.3, 0.44, 0.331, 0.783, 11.2, 30.5, 20.7, 8.8, 4.3, 13.3, 21.7
